"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"GBR","United Kingdom","WSST","Compensation rate, total economy","A","Annual","2012","2012",33239.4216268961,,
"GBR","United Kingdom","WSST","Compensation rate, total economy","A","Annual","2013","2013",34319.1764946486,,
"GBR","United Kingdom","WSST","Compensation rate, total economy","A","Annual","2014","2014",34649.7445384918,,
"GBR","United Kingdom","WSST","Compensation rate, total economy","A","Annual","2015","2015",34940.910073193,,
"GBR","United Kingdom","WSST","Compensation rate, total economy","A","Annual","2016","2016",36003.537713892,,
"GBR","United Kingdom","WSST","Compensation rate, total economy","A","Annual","2017","2017",37098.6994805291,,
"GBR","United Kingdom","WSST","Compensation rate, total economy","A","Annual","2018","2018",38057.7631746147,,
"GBR","United Kingdom","WSST","Compensation rate, total economy","A","Annual","2019","2019",39566.8300078512,,
"GBR","United Kingdom","WSST","Compensation rate, total economy","A","Annual","2020","2020",40220.3298511728,,
"GBR","United Kingdom","WSST","Compensation rate, total economy","A","Annual","2021","2021",39203.6179811728,,
"GBR","United Kingdom","WSST","Compensation rate, total economy","A","Annual","2022","2022",40854.7937362686,,
"GBR","United Kingdom","LF","Labour force","A","Annual","2012","2012",32268000,,
"GBR","United Kingdom","LF","Labour force","A","Annual","2013","2013",32517250,,
"GBR","United Kingdom","LF","Labour force","A","Annual","2014","2014",32779250,,
"GBR","United Kingdom","LF","Labour force","A","Annual","2015","2015",33065250,,
"GBR","United Kingdom","LF","Labour force","A","Annual","2016","2016",33376750,,
"GBR","United Kingdom","LF","Labour force","A","Annual","2017","2017",33533250,,
"GBR","United Kingdom","LF","Labour force","A","Annual","2018","2018",33819250,,
"GBR","United Kingdom","LF","Labour force","A","Annual","2019","2019",34104250,,
"GBR","United Kingdom","LF","Labour force","A","Annual","2020","2020",34151502.1511594,,
"GBR","United Kingdom","LF","Labour force","A","Annual","2021","2021",34015650.9951551,,
"GBR","United Kingdom","LF","Labour force","A","Annual","2022","2022",34267310.2107155,,
"GBR","United Kingdom","ET","Total employment (labour force survey basis)","A","Annual","2012","2012",29697000,,
"GBR","United Kingdom","ET","Total employment (labour force survey basis)","A","Annual","2013","2013",30043250,,
"GBR","United Kingdom","ET","Total employment (labour force survey basis)","A","Annual","2014","2014",30753500,,
"GBR","United Kingdom","ET","Total employment (labour force survey basis)","A","Annual","2015","2015",31284750,,
"GBR","United Kingdom","ET","Total employment (labour force survey basis)","A","Annual","2016","2016",31743500,,
"GBR","United Kingdom","ET","Total employment (labour force survey basis)","A","Annual","2017","2017",32057000,,
"GBR","United Kingdom","ET","Total employment (labour force survey basis)","A","Annual","2018","2018",32439250,,
"GBR","United Kingdom","ET","Total employment (labour force survey basis)","A","Annual","2019","2019",32798750,,
"GBR","United Kingdom","ET","Total employment (labour force survey basis)","A","Annual","2020","2020",32566852.25,,
"GBR","United Kingdom","ET","Total employment (labour force survey basis)","A","Annual","2021","2021",31499575.9149222,,
"GBR","United Kingdom","ET","Total employment (labour force survey basis)","A","Annual","2022","2022",32126897.7920434,,
"GBR","United Kingdom","UNR","Unemployment rate","A","Annual","2012","2012",7.96764596504277,,
"GBR","United Kingdom","UNR","Unemployment rate","A","Annual","2013","2013",7.60826945698053,,
"GBR","United Kingdom","UNR","Unemployment rate","A","Annual","2014","2014",6.17997666206518,,
"GBR","United Kingdom","UNR","Unemployment rate","A","Annual","2015","2015",5.3848073128133,,
