,Variable,Time,Value
0,"Compensation rate, total economy",2012,33239.4216268961
1,"Compensation rate, total economy",2013,34319.1764946486
2,"Compensation rate, total economy",2014,34649.7445384918
3,"Compensation rate, total economy",2015,34940.910073193
4,"Compensation rate, total economy",2016,36003.537713892
5,"Compensation rate, total economy",2017,37098.6994805291
6,"Compensation rate, total economy",2018,38057.7631746147
7,"Compensation rate, total economy",2019,39566.8300078512
8,"Compensation rate, total economy",2020,40220.3298511728
9,"Compensation rate, total economy",2021,39203.6179811728
10,"Compensation rate, total economy",2022,40854.7937362686
11,Labour force,2012,32268000.0
12,Labour force,2013,32517250.0
13,Labour force,2014,32779250.0
14,Labour force,2015,33065250.0
15,Labour force,2016,33376750.0
16,Labour force,2017,33533250.0
17,Labour force,2018,33819250.0
18,Labour force,2019,34104250.0
19,Labour force,2020,34151502.1511594
20,Labour force,2021,34015650.9951551
21,Labour force,2022,34267310.2107155
22,Total employment (labour force survey basis),2012,29697000.0
23,Total employment (labour force survey basis),2013,30043250.0
24,Total employment (labour force survey basis),2014,30753500.0
25,Total employment (labour force survey basis),2015,31284750.0
26,Total employment (labour force survey basis),2016,31743500.0
27,Total employment (labour force survey basis),2017,32057000.0
28,Total employment (labour force survey basis),2018,32439250.0
29,Total employment (labour force survey basis),2019,32798750.0
30,Total employment (labour force survey basis),2020,32566852.25
31,Total employment (labour force survey basis),2021,31499575.9149222
32,Total employment (labour force survey basis),2022,32126897.7920434
33,Unemployment rate,2012,7.96764596504277
34,Unemployment rate,2013,7.60826945698053
35,Unemployment rate,2014,6.17997666206518
36,Unemployment rate,2015,5.3848073128133
37,Unemployment rate,2016,4.89337637726861
38,Unemployment rate,2017,4.40234692432138
39,Unemployment rate,2018,4.08051627401554
40,Unemployment rate,2019,3.82796865493304
41,Unemployment rate,2020,4.64005915214366
42,Unemployment rate,2021,7.39681589686833
43,Unemployment rate,2022,6.2462224362239
44,Current account balance,2012,-59868000000.0
45,Current account balance,2013,-87089000000.0
46,Current account balance,2014,-90888000000.0
47,Current account balance,2015,-96435000000.0
48,Current account balance,2016,-108390000000.0
49,Current account balance,2017,-77963000000.0
50,Current account balance,2018,-78853000000.0
51,Current account balance,2019,-95309999999.9999
52,Current account balance,2020,-54828453419.9999
53,Current account balance,2021,-75855311099.7275
54,Current account balance,2022,-76214100548.1285
55,Total self-employed,2012,4332750.0
56,Total self-employed,2013,4372500.0
57,Total self-employed,2014,4673250.0
